hotel,is_canceled,lead_time,arrival_date_year,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,total_nights,total_guests,adr_por_pessoa,month_sin,month_cos,conjunto,prob_mlp,pred_mlp,acerto_mlp
Resort Hotel,0,7,2015,27,1,0,1,1,0,0,BB,GBR,Direct,Direct,0,0,0,A,0,No Deposit,0,Transient,75.0,0,0,1,1,75.0,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,13,2015,27,1,0,1,1,0,0,BB,GBR,Corporate,Corporate,0,0,0,A,0,No Deposit,0,Transient,75.0,0,0,1,1,75.0,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,14,2015,27,1,0,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,98.0,0,1,2,2,49.0,-0.4999999999999997,-0.8660254037844388,teste,0.004120106343179941,0.0,1.0
Resort Hotel,0,0,2015,27,1,0,2,2,0,0,BB,PRT,Direct,Direct,0,0,0,C,0,No Deposit,0,Transient,107.0,0,0,2,2,53.5,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,9,2015,27,1,0,2,2,0,0,FB,PRT,Direct,Direct,0,0,0,C,0,No Deposit,0,Transient,103.0,0,1,2,2,51.5,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,1,85,2015,27,1,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,82.0,0,1,3,2,41.0,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,1,75,2015,27,1,0,3,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,0,Transient,105.5,0,0,3,2,52.75,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,1,23,2015,27,1,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,0,No Deposit,0,Transient,123.0,0,0,4,2,61.5,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,35,2015,27,1,0,4,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,0,No Deposit,0,Transient,145.0,0,0,4,2,72.5,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,68,2015,27,1,0,4,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,0,No Deposit,0,Transient,97.0,0,3,4,2,48.5,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,18,2015,27,1,0,4,2,1,0,HB,ESP,Online TA,TA/TO,0,0,0,G,1,No Deposit,0,Transient,154.77,0,1,4,3,51.59,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,37,2015,27,1,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,0,No Deposit,0,Transient,94.71,0,0,4,2,47.355,-0.4999999999999997,-0.8660254037844388,treino,,,
Resort Hotel,0,68,2015,27,1,0,4,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,0,No Deposit,0,Transient,97.0,0,3,4,2,48.5,-0.4999999999999997,-0.8660254037844388,teste,0.0005990851204842329,0.0,1.0
