trial,n_layers,n_units,activation,learning_rate,batch_size,optimizer,patience,dropout,f1_val,f1_val_std,f1_treino,gap_treino_val,roc_auc,pr_auc,epocas,tempo_s
1,1,256,tanh,0.005214297905300547,256,adam,8,0.0,0.6688579352206122,0.005393078883642432,0.6998975756175412,0.03103964039692897,0.8870692622017788,0.7592885682521161,20.0,21.0
2,1,128,elu,0.0033287363915578405,512,sgd,8,0.0,0.5828432734440574,0.006851310161049098,0.5890362656715306,0.00619299222747316,0.8527375672059906,0.6996027836384612,50.0,27.7
3,4,64,tanh,0.007137234690401974,256,sgd,8,0.1,0.6534719858633954,0.0078105014489273355,0.6629939400686701,0.009521954205274685,0.8851011525104528,0.7562025571106937,50.0,62.6
4,4,128,tanh,0.0002847589897922608,128,rmsprop,10,0.0,0.6688285330979307,0.006926215011389775,0.7016453171717113,0.032816784073780636,0.890418554407754,0.7666950020429878,37.333333333333336,72.5
5,4,256,relu,0.0032822788943585807,512,sgd,5,0.0,0.654416529564569,0.008039461492872145,0.7101000904711349,0.0556835609065659,0.8769833237247378,0.7425346684446579,42.333333333333336,90.1
6,4,64,elu,0.0036038523876847856,1024,adam,5,0.1,0.679075950405723,0.005159117702364436,0.703480065532423,0.024404115126700043,0.8949315592025867,0.7738707869223455,39.0,27.2
7,2,32,tanh,0.0023232604885522565,128,sgd,8,0.1,0.6328517910363755,0.0009188461576397066,0.6382877084238127,0.005435917387437206,0.8750681129811139,0.7392075410806597,50.0,66.0
8,4,64,relu,0.0005507054976993257,128,rmsprop,10,0.0,0.6627680473823769,0.005742563791669408,0.7040180537324132,0.04125000635003628,0.8807613879438517,0.7502059348983369,20.333333333333332,38.2
9,2,32,elu,0.00028432738978688204,256,rmsprop,8,0.3,0.6185543065492323,0.0015148196587144293,0.6224031356515083,0.003848829102276019,0.8712008155405514,0.7302429492438601,50.0,49.9
10,2,32,elu,0.0025149549152136495,128,adam,10,0.3,0.6585520839997121,0.010465029875577765,0.6721966071728275,0.013644523173115375,0.8913092713212768,0.7657317794598063,50.0,173.7
11,2,256,elu,0.00037727341902696,256,adam,8,0.2,0.6719301528337559,0.0030116456860074976,0.689427648131384,0.01749749529762812,0.8909449214322785,0.7675838214334787,50.0,203.5
12,1,256,relu,0.00010344858139522908,1024,sgd,10,0.2,0.19304690128094948,0.0008077979270082667,0.1941752255064643,0.0011283242255148151,0.7146338242208925,0.4869898628490897,50.0,78.6
13,2,128,relu,0.0008276210937283397,1024,rmsprop,8,0.0,0.6668364652281239,0.009277335272363026,0.7128789418879137,0.04604247665978978,0.8855824991009053,0.7580682002330756,40.666666666666664,67.5
14,1,32,relu,0.0021717304645704526,512,rmsprop,10,0.2,0.665020702721236,0.001849992512784932,0.6829365885074515,0.017915885786215502,0.8899342681995722,0.7623050526283425,50.0,103.0
15,1,256,tanh,0.001279849200002848,512,adam,8,0.3,0.6533761007834034,0.005556766960070154,0.6636727092470261,0.010296608463622792,0.8822821089788926,0.7522980959024771,50.0,138.5
16,2,128,relu,0.0007471964132012045,1024,adam,5,0.1,0.6770276461173865,0.006064421879712468,0.7314179690370172,0.05439032291963064,0.8921177519464484,0.7708476011615973,50.0,109.1
17,4,256,relu,0.00013079931915544428,128,sgd,5,0.3,0.5531686072402276,0.002461568439514712,0.5560537465907194,0.0028851393504917278,0.8111308454249828,0.621163584617203,50.0,586.5
18,2,64,tanh,0.0013003621044997634,512,sgd,10,0.2,0.5561949755866963,0.0074915570586818105,0.5557205766079538,-0.00047439897874246295,0.8355447157474867,0.6683065372073784,50.0,101.4
19,2,64,tanh,0.00021574753370052615,1024,rmsprop,3,0.0,0.6258085525883169,0.002941574851792899,0.6340218676211048,0.008213315032787882,0.8716711261527097,0.7316736372817113,50.0,76.9
20,1,256,elu,0.0008389855104787764,512,adam,10,0.2,0.6397454547422277,0.005459012296177744,0.6521790756277027,0.01243362088547506,0.8784715436564774,0.7446791558681558,50.0,107.6
21,4,32,tanh,0.0007803915372354436,512,adam,5,0.0,0.6625417573477876,0.008771160591750269,0.6915075231961615,0.028965765848373848,0.8898994564201512,0.7649509748469244,50.0,108.3
22,2,128,tanh,0.0005292065625346756,1024,adam,5,0.0,0.6696108241706488,0.005585960909320201,0.6944408484011849,0.024830024230536152,0.8896720992179626,0.7654188418732968,50.0,85.3
23,2,256,tanh,0.0025085009372064486,1024,rmsprop,5,0.3,0.6668445454268284,0.009193773109513595,0.6825793438042439,0.015734798377415538,0.8881874087099669,0.7623152148689655,43.0,62.3
24,4,64,elu,0.0027150659192692215,1024,rmsprop,8,0.1,0.6783402524306753,0.01094416323999131,0.698487191120131,0.020146938689455718,0.891641504259305,0.7694534693625048,44.666666666666664,30.7
25,1,32,tanh,0.0008157415422961878,1024,sgd,3,0.2,0.47637236872186667,0.006767162057441363,0.478027522706954,0.0016551539850873098,0.8141316086734699,0.6371497931748816,50.0,20.2
