trial,n_layers,n_units,activation,learning_rate,batch_size,optimizer,patience,dropout,f1_val,f1_val_std,f1_treino,gap_treino_val,roc_auc,pr_auc,epocas,tempo_s
1,2,256,tanh,0.008706020878304856,128,rmsprop,5,0.2,0.6545541464067782,0.0038392872518707394,0.6748743693402437,0.02032022293346547,0.8770387597421863,0.7430535296732877,16.666666666666668,50.0
2,4,256,relu,0.0023359635026261607,512,adam,8,0.0,0.6565887348407594,0.0046135551344496815,0.6911430971027336,0.03455436226197417,0.8854924817440467,0.7572596071024617,11.666666666666666,33.8
3,2,128,relu,0.001217284708112243,1024,adam,3,0.3,0.6752343537567338,0.005382100161347872,0.718637280242283,0.04340292648554922,0.8941260800351064,0.7737275161516523,44.666666666666664,32.2
4,1,256,elu,0.0033233042062267943,256,adam,5,0.0,0.6634632292935366,0.011302768426632014,0.6940375201852081,0.03057429089167152,0.8867184179898867,0.7588192406051331,32.666666666666664,31.7
5,3,32,elu,0.0011986281799901185,256,sgd,3,0.3,0.5774105894627825,0.007819907698324078,0.5779823410702303,0.0005717516074478235,0.8450370826885427,0.6806915972477162,50.0,46.1
6,3,32,relu,0.001656260589333597,1024,sgd,3,0.1,0.5451929852178945,0.006096938460728632,0.5479816409638617,0.0027886557459672057,0.82673856556984,0.6484337701002468,50.0,23.8
7,4,256,relu,0.0002837863814617628,512,adam,5,0.1,0.6763089320926815,0.0027590440338613343,0.7410736279446667,0.06476469585198519,0.8906284593647108,0.7670802690760782,31.666666666666668,84.0
8,4,256,relu,0.0019233720128877185,512,sgd,10,0.2,0.6287391834283504,0.004753731597035081,0.6354551089634979,0.006715925535147438,0.8593714871288708,0.7028781035326147,50.0,134.4
9,4,32,elu,0.0006112170343513632,128,adam,3,0.2,0.6582677720965125,0.001236859680710888,0.6658026031900282,0.007534831093515604,0.8849437377230033,0.7537463787649341,35.333333333333336,59.8
10,3,32,tanh,0.00021826570038901196,256,sgd,8,0.1,0.5360426732942418,0.00853110654304865,0.5373686474048274,0.0013259741105855483,0.8256344984687288,0.6503369109676287,50.0,47.0
11,4,256,relu,0.00010217498735619232,256,adam,5,0.3,0.6604867103104676,0.004298173659349185,0.680562070340777,0.020075360030309408,0.8830454549163328,0.7528019217396548,50.0,152.9
12,2,128,elu,0.0005718216318548438,1024,adam,3,0.3,0.6429817572857935,0.0023825312464217903,0.6512418889840749,0.008260131698281326,0.8808954920507331,0.7485269974003576,50.0,38.2
13,4,256,relu,0.0007585447498805294,512,adam,5,0.1,0.6720810672135138,0.006323368659232656,0.7260560733765248,0.053975006163010986,0.8906208960823263,0.7666712543004822,18.0,52.5
14,1,256,relu,0.00012548576122595791,512,adam,5,0.1,0.6247919003794838,0.00375569901308037,0.6416422853041643,0.016850384924680495,0.873793798998117,0.7352241713828689,50.0,42.8
15,1,128,relu,0.006824495235200318,256,adam,3,0.3,0.6721661070577141,0.004221971218129103,0.7027517353313923,0.030585628273678278,0.8910065468351697,0.767091215971688,16.333333333333332,17.7
16,1,128,relu,0.00022096186527892654,1024,sgd,3,0.3,0.24700017119512344,0.006290704994543777,0.24782744331559778,0.0008272721204743427,0.7590131730758242,0.540388277404848,50.0,25.4
17,4,256,relu,0.0003101062099194526,1024,rmsprop,8,0.1,0.6777858376518022,0.006913120771363195,0.7323215679270666,0.05453573027526437,0.8905552361691392,0.7673496736222979,50.0,118.6
18,4,128,relu,0.0001412375248123648,1024,rmsprop,8,0.1,0.6577904080376601,0.00535382520583957,0.6773893519072707,0.019598943869610586,0.8800138895410002,0.7467777245215751,50.0,58.9
19,4,256,relu,0.0005666683342394634,1024,rmsprop,8,0.1,0.6758292357787,0.007335732262869904,0.7247112804328024,0.0488820446541024,0.8904968721649374,0.7674451045759382,34.666666666666664,86.2
20,4,256,relu,0.0002073504310663814,128,sgd,3,0.1,0.613936258936528,0.003554289867072182,0.620400168225357,0.006463909288829006,0.853353848249021,0.6945750998112666,50.0,195.6
21,4,128,elu,0.00015441143163563305,512,sgd,5,0.1,0.5592804466523942,0.003221660410233823,0.5619840711061675,0.002703624453773368,0.8270233205708255,0.649752285461242,50.0,66.4
22,4,256,relu,0.00042220255418372836,1024,rmsprop,8,0.1,0.6762154073581845,0.008164058438669207,0.7238707879820291,0.04765538062384456,0.8899699281910719,0.7664418601378492,39.0,88.8
23,4,256,relu,0.00039396634101669957,256,rmsprop,3,0.3,0.6802459425870285,0.0043760480499963755,0.7177164778221302,0.03747053523510169,0.8914154261808723,0.7686706042184598,39.666666666666664,119.0
24,4,256,relu,0.00014079587482868178,512,rmsprop,3,0.3,0.6560281553655569,0.0020669981414383515,0.6725572779682342,0.01652912260267725,0.8803474898443993,0.7473009089458676,50.0,134.7
25,4,256,relu,0.0007343447908062475,512,rmsprop,3,0.3,0.6799515200638154,0.0052034241124998,0.7202905979774791,0.040339077913663646,0.8922878295219839,0.7700074552758646,34.666666666666664,97.6
